Frequency,Channel 1,Channel 2,Channel 2
0.1,0.000286589,-10.0853,-92.4021
0.114815,0.00194677,-8.88556,-92.6658
0.131826,-0.00117568,-7.69805,-92.9801
0.151356,0.0014263,-6.51668,-93.3044
0.17378,0.00223352,-5.33437,-93.698
0.199526,0.00340778,-4.14568,-94.1532
0.229087,0.00285754,-2.95987,-94.6581
0.263027,0.000847582,-1.77355,-95.2469
0.301995,0.00299172,-0.596926,-95.8963
0.346737,0.00241272,0.583526,-96.6678
0.398107,0.00262582,1.75666,-97.548
0.457088,0.00150775,2.92632,-98.5471
0.524807,0.00135958,4.08927,-99.6905
0.60256,0.00173449,5.24374,-100.975
0.691831,0.000929683,6.3895,-102.453
0.794328,0.00125396,7.52018,-104.138
0.912011,0.00199955,8.63309,-106.02
1.04713,0.00177761,9.72403,-108.149
1.20226,0.00285002,10.7888,-110.529
1.38038,0.00090012,11.8196,-113.155
1.58489,0.000783855,12.809,-116.054
1.8197,0.0009635,13.7484,-119.199
2.0893,0.000213964,14.6301,-122.584
2.39883,0.00152159,15.4452,-126.18
2.75423,0.00202536,16.1885,-129.914
3.16228,0.000526144,16.8562,-133.76
3.63078,0.000515958,17.4438,-137.61
4.16869,0.000442493,17.9518,-141.438
4.7863,0.000479929,18.3823,-145.14
5.49541,0.000324915,18.7436,-148.685
6.30957,-0.000313486,19.0422,-152.02
7.24436,-0.000351495,19.2839,-155.129
8.31764,-0.000597135,19.4782,-157.969
9.54993,1.56574e-05,19.633,-160.544
10.9648,0.00187335,19.7536,-162.87
12.5893,0.000418208,19.8519,-164.958
14.4544,0.000558848,19.9266,-166.794
16.5959,0.000852526,19.9851,-168.454
19.0546,0.00206656,20.0286,-169.902
21.8776,0.00101409,20.0653,-171.171
25.1189,-0.00117102,20.0941,-172.303
28.8403,0.000965154,20.1145,-173.286
33.1131,0.00110512,20.1303,-174.151
38.0189,0.00184671,20.1426,-174.915
43.6516,0.000420105,20.1503,-175.575
50.1187,-0.000153482,20.1565,-176.177
57.544,0.000814524,20.1652,-176.668
66.0693,0.0018518,20.1731,-177.151
75.8578,4.44315e-05,20.1782,-177.552
87.0964,-0.00104772,20.1818,-177.909
100,0.000171073,20.1844,-178.235
114.815,0.00141009,20.1855,-178.526
131.826,0.000631268,20.1878,-178.792
151.356,-0.00132526,20.1903,-179.042
173.78,-0.000836693,20.1937,-179.256
199.526,-0.00167507,20.1942,-179.476
229.087,0.00106957,20.1944,-179.667
263.027,-0.000576311,20.1938,-179.875
301.995,-0.000700923,20.1967,179.925
346.737,0.000168409,20.1957,179.737
398.107,0.00109489,20.1958,179.534
457.088,-0.00024742,20.1952,179.312
524.807,0.00247122,20.1966,179.098
602.56,-0.0029289,20.1976,178.845
691.831,-0.00123527,20.1967,178.555
794.328,-0.00219477,20.195,178.259
912.011,0.00697142,20.1938,177.946
1047.13,0.000635747,20.191,177.562
1202.26,0.000678014,20.1857,177.142
1380.38,-0.00167114,20.185,176.701
1584.89,0.000654242,20.1788,176.16
1819.7,0.0010474,20.1744,175.542
2089.3,-0.0029876,20.1651,174.861
2398.83,0.00396698,20.153,174.091
2754.23,0.00526567,20.1377,173.134
3162.28,-0.00243758,20.1179,172.153
3630.78,0.00642678,20.0949,170.966
4168.69,0.00576858,20.0559,169.658
4786.3,0.0128766,20.0145,168.19
5495.41,0.0112767,19.9601,166.448
6309.57,0.0165654,19.8802,164.55
7244.36,0.0130506,19.7885,162.361
8317.64,0.0098244,19.6655,159.954
9549.93,0.0104183,19.5086,157.258
10964.8,0.0165936,19.311,154.278
12589.3,0.00388139,19.0618,151.046
14454.4,0.0179427,18.7549,147.54
16595.9,0.0274193,18.3786,143.857
19054.6,0.027202,17.9352,139.951
21877.6,0.0361528,17.4084,136.005
25118.9,0.0170015,16.8039,131.949
28840.3,0.0219344,16.1089,127.988
33113.1,0.0453899,15.3384,124.068
38018.9,0.0536096,14.4916,120.389
43651.6,0.0443175,13.5946,116.814
50118.7,0.0560816,12.617,113.514
57544,0.0513667,11.6178,110.512
66069.3,0.0556757,10.6214,107.433
75857.8,0.0560291,9.49794,105.149
87096.4,0.0659229,8.38385,102.731
100000,0.0719741,7.25332,100.476
